period,airport_code,forecast_total_pax
202607,LDY,27158.875599473646
202608,LDY,25999.461823427075
202609,LDY,20946.22723542625
202610,LDY,21902.76210905288
202611,LDY,22101.053723401175
202612,LDY,22419.63882733111
202701,LDY,19040.88926178669
202702,LDY,21724.617448748257
202703,LDY,22595.009341589288
202704,LDY,20760.08243618719
202705,LDY,21793.261236020222
202706,LDY,22835.670781018576
