period,airport_code,forecast_total_pax
202607,BFS,684767.6191682862
202608,BFS,686095.616325886
202609,BFS,616321.839484429
202610,BFS,588834.2322921132
202611,BFS,491486.7158702853
202612,BFS,503582.6050950849
202701,BFS,449549.54346493044
202702,BFS,496965.1812398501
202703,BFS,537002.1428865695
202704,BFS,570773.8814631518
202705,BFS,621601.5450716593
202706,BFS,649584.8919120318
