period,airport_code,forecast_total_pax
202607,BHD,234027.31131194308
202608,BHD,239788.4292919582
202609,BHD,209811.9672722743
202610,BHD,208467.31528073098
202611,BHD,190197.1328002416
202612,BHD,184450.22322364748
202701,BHD,158875.5483532749
202702,BHD,175206.40504810633
202703,BHD,187942.73325933976
202704,BHD,194447.69815281642
202705,BHD,206716.11070108853
202706,BHD,215214.54745140325
