airport_code,airport_name,period,terminal_pax,total_pax,transit_pax,mov_charter_EU_international_passenger_atm,mov_charter_all_EU_international_atm,mov_charter_all_domestic_atm,mov_charter_all_non_EU_international_atm,mov_charter_passenger_domestic_atm,mov_charter_passenger_non_EU_international_atm,mov_scheduled_all_EU_international_atm,mov_scheduled_all_domestic_atm,mov_scheduled_all_non_EU_international_atm,mov_scheduled_passenger_EU_international_atm,mov_scheduled_passenger_domestic_atm,mov_scheduled_passenger_non_EU_international_atm,mov_total_EU_atm,mov_total_domestic_atm,mov_total_non_EU_international_atm,covid_anomaly
LDY,CITY OF DERRY (EGLINTON),201501,20378,20381,3,0,0,0,0,0,0,1.0,178,0,1,178,0,1.0,178,0,False
LDY,CITY OF DERRY (EGLINTON),201502,22899,22899,0,0,0,0,0,0,0,0.0,160,0,0,160,0,0.0,160,0,False
LDY,CITY OF DERRY (EGLINTON),201503,24140,24140,0,0,0,0,0,0,0,0.0,174,0,0,174,0,0.0,174,0,False
LDY,CITY OF DERRY (EGLINTON),201504,22875,22875,0,0,0,0,0,0,0,0.0,148,0,0,148,0,0.0,148,0,False
LDY,CITY OF DERRY (EGLINTON),201505,22661,22661,0,0,0,0,0,0,0,0.0,150,0,0,150,0,0.0,150,0,False
LDY,CITY OF DERRY (EGLINTON),201506,23768,23768,0,0,0,2,0,2,0,8.0,148,0,8,148,0,8.0,150,0,False
LDY,CITY OF DERRY (EGLINTON),201507,29219,29219,0,0,0,0,0,0,0,38.0,141,0,38,141,0,38.0,141,0,False
LDY,CITY OF DERRY (EGLINTON),201508,25531,25531,0,0,0,0,0,0,0,0.0,150,0,0,150,0,0.0,150,0,False
LDY,CITY OF DERRY (EGLINTON),201509,22137,22137,0,0,0,0,0,0,0,0.0,152,0,0,152,0,0.0,152,0,False
LDY,CITY OF DERRY (EGLINTON),201510,24401,24401,0,1,1,1,0,1,0,0.0,158,0,0,158,0,1.0,159,0,False
LDY,CITY OF DERRY (EGLINTON),201511,25150,25150,0,0,0,0,0,0,0,1.0,168,0,1,168,0,1.0,168,0,False
LDY,CITY OF DERRY (EGLINTON),201512,21323,21323,0,0,0,0,0,0,0,0.0,148,0,0,148,0,0.0,148,0,False
LDY,CITY OF DERRY (EGLINTON),201601,20625,20625,0,0,0,0,0,0,0,0.0,152,0,0,152,0,0.0,152,0,False
LDY,CITY OF DERRY (EGLINTON),201602,24607,24607,0,0,0,0,0,0,0,0.0,158,0,0,158,0,0.0,158,0,False
LDY,CITY OF DERRY (EGLINTON),201603,25590,25590,0,0,0,0,0,0,0,0.0,164,0,0,164,0,0.0,164,0,False
LDY,CITY OF DERRY (EGLINTON),201604,22407,22407,0,2,2,0,0,0,0,1.0,145,0,1,145,0,3.0,145,0,False
LDY,CITY OF DERRY (EGLINTON),201605,23513,23513,0,0,0,0,0,0,0,0.0,154,0,0,154,0,0.0,154,0,False
LDY,CITY OF DERRY (EGLINTON),201606,24898,24898,0,0,0,0,0,0,0,16.0,144,0,16,144,0,16.0,144,0,False
LDY,CITY OF DERRY (EGLINTON),201607,28840,28840,0,0,0,0,0,0,0,18.0,150,0,18,150,0,18.0,150,0,False
LDY,CITY OF DERRY (EGLINTON),201608,28803,28803,0,0,0,0,0,0,0,18.0,150,0,18,150,0,18.0,150,0,False
LDY,CITY OF DERRY (EGLINTON),201609,25504,25504,0,0,0,0,0,0,0,18.0,146,0,18,146,0,18.0,146,0,False
LDY,CITY OF DERRY (EGLINTON),201610,23993,23993,0,0,0,0,0,0,0,0.0,152,0,0,152,0,0.0,152,0,False
LDY,CITY OF DERRY (EGLINTON),201611,21106,21106,0,0,0,0,0,0,0,0.0,132,0,0,132,0,0.0,132,0,False
LDY,CITY OF DERRY (EGLINTON),201612,20785,20785,0,0,0,0,0,0,0,1.0,135,0,1,135,0,1.0,135,0,False
LDY,CITY OF DERRY (EGLINTON),201701,19692,19692,0,0,0,0,0,0,0,0.0,140,0,0,140,0,0.0,140,0,False
LDY,CITY OF DERRY (EGLINTON),201702,20961,20961,0,0,0,0,0,0,0,2.0,130,0,2,130,0,2.0,130,0,False
LDY,CITY OF DERRY (EGLINTON),201703,19800,19800,0,0,0,0,0,0,0,0.0,126,0,0,126,0,0.0,126,0,False
LDY,CITY OF DERRY (EGLINTON),201704,10568,10568,0,0,0,0,0,0,0,0.0,62,0,0,62,0,0.0,62,0,False
LDY,CITY OF DERRY (EGLINTON),201705,13852,13852,0,0,0,0,0,0,0,0.0,173,1,0,173,1,0.0,173,1,False
LDY,CITY OF DERRY (EGLINTON),201706,14343,14343,0,3,3,0,0,0,0,0.0,172,0,0,172,0,3.0,172,0,False
LDY,CITY OF DERRY (EGLINTON),201707,16880,16880,0,10,10,0,0,0,0,0.0,176,0,0,176,0,10.0,176,0,False
LDY,CITY OF DERRY (EGLINTON),201708,16155,16155,0,5,5,0,0,0,0,0.0,179,0,0,179,0,5.0,179,0,False
LDY,CITY OF DERRY (EGLINTON),201709,14345,14345,0,0,0,1,0,1,0,0.0,172,0,0,172,0,0.0,173,0,False
LDY,CITY OF DERRY (EGLINTON),201710,15107,15107,0,0,0,0,0,0,0,1.0,181,0,1,181,0,1.0,181,0,False
LDY,CITY OF DERRY (EGLINTON),201711,16891,16891,0,0,0,2,0,2,0,0.0,190,0,0,190,0,0.0,192,0,False
LDY,CITY OF DERRY (EGLINTON),201712,15387,15387,0,0,0,0,0,0,0,1.0,184,0,1,184,0,1.0,184,0,False
LDY,CITY OF DERRY (EGLINTON),201801,14595,14595,0,0,0,0,0,0,0,3.0,195,0,3,195,0,3.0,195,0,False
LDY,CITY OF DERRY (EGLINTON),201802,14977,14977,0,0,0,0,0,0,0,1.0,176,0,1,176,0,1.0,176,0,False
LDY,CITY OF DERRY (EGLINTON),201803,15884,15884,0,2,2,0,0,0,0,0.0,192,0,0,192,0,2.0,192,0,False
LDY,CITY OF DERRY (EGLINTON),201804,14988,14988,0,0,0,0,0,0,0,0.0,178,0,0,178,0,0.0,178,0,False
LDY,CITY OF DERRY (EGLINTON),201805,15541,15541,0,0,0,0,0,0,0,0.0,189,0,0,189,0,0.0,189,0,False
LDY,CITY OF DERRY (EGLINTON),201806,15769,15769,0,3,3,0,0,0,0,0.0,180,0,0,180,0,3.0,180,0,False
LDY,CITY OF DERRY (EGLINTON),201807,18288,18288,0,11,11,1,0,1,0,0.0,186,0,0,186,0,11.0,187,0,False
LDY,CITY OF DERRY (EGLINTON),201808,17665,17665,0,5,5,0,0,0,0,0.0,186,0,0,186,0,5.0,186,0,False
LDY,CITY OF DERRY (EGLINTON),201809,12136,12136,0,0,0,0,0,0,0,0.0,162,0,0,162,0,0.0,162,0,False
LDY,CITY OF DERRY (EGLINTON),201810,12847,12847,0,0,0,0,0,0,0,0.0,176,0,0,176,0,0.0,176,0,False
LDY,CITY OF DERRY (EGLINTON),201811,16914,16914,0,0,0,0,0,0,0,0.0,236,0,0,236,0,0.0,236,0,False
LDY,CITY OF DERRY (EGLINTON),201812,16239,16239,0,0,0,0,0,0,0,0.0,242,0,0,242,0,0.0,242,0,False
LDY,CITY OF DERRY (EGLINTON),201901,14536,14536,0,0,0,0,2,0,2,0.0,226,0,0,226,0,0.0,226,2,False
LDY,CITY OF DERRY (EGLINTON),201902,13865,13865,0,0,0,0,0,0,0,0.0,178,0,0,178,0,0.0,178,0,False
LDY,CITY OF DERRY (EGLINTON),201903,16719,16719,0,0,0,0,0,0,0,0.0,242,0,0,242,0,0.0,242,0,False
LDY,CITY OF DERRY (EGLINTON),201904,15887,15887,0,0,0,0,0,0,0,0.0,231,0,0,231,0,0.0,231,0,False
LDY,CITY OF DERRY (EGLINTON),201905,15341,15341,0,0,0,0,0,0,0,0.0,254,0,0,254,0,0.0,254,0,False
LDY,CITY OF DERRY (EGLINTON),201906,16886,16886,0,0,0,0,0,0,0,0.0,284,0,0,284,0,0.0,284,0,False
LDY,CITY OF DERRY (EGLINTON),201907,19281,19281,0,0,0,0,0,0,0,0.0,288,0,0,288,0,0.0,288,0,False
LDY,CITY OF DERRY (EGLINTON),201908,20556,20556,0,0,0,0,0,0,0,0.0,296,0,0,296,0,0.0,296,0,False
LDY,CITY OF DERRY (EGLINTON),201909,16081,16081,0,0,0,0,0,0,0,0.0,274,0,0,274,0,0.0,274,0,False
LDY,CITY OF DERRY (EGLINTON),201910,18201,18201,0,0,0,0,0,0,0,0.0,280,0,0,280,0,0.0,280,0,False
LDY,CITY OF DERRY (EGLINTON),201911,18005,18005,0,0,0,0,0,0,0,0.0,246,0,0,246,0,0.0,246,0,False
LDY,CITY OF DERRY (EGLINTON),201912,18419,18419,0,0,0,0,0,0,0,0.0,262,0,0,262,0,0.0,262,0,False
LDY,CITY OF DERRY (EGLINTON),202001,15199,15199,0,0,0,0,0,0,0,0.0,238,0,0,238,0,0.0,238,0,False
LDY,CITY OF DERRY (EGLINTON),202002,16296,16296,0,0,0,0,0,0,0,0.0,216,0,0,216,0,0.0,216,0,False
LDY,CITY OF DERRY (EGLINTON),202003,9905,9905,0,0,0,0,0,0,0,0.0,218,0,0,218,0,0.0,218,0,True
LDY,CITY OF DERRY (EGLINTON),202004,166,166,0,0,0,0,0,0,0,0.0,52,0,0,52,0,0.0,52,0,True
LDY,CITY OF DERRY (EGLINTON),202005,946,946,0,0,0,0,0,0,0,0.0,52,0,0,52,0,0.0,52,0,True
LDY,CITY OF DERRY (EGLINTON),202006,1454,1454,0,0,0,0,0,0,0,0.0,52,0,0,52,0,0.0,52,0,True
LDY,CITY OF DERRY (EGLINTON),202007,6683,6683,0,0,0,0,0,0,0,0.0,138,0,0,138,0,0.0,138,0,True
LDY,CITY OF DERRY (EGLINTON),202008,9074,9074,0,2,2,0,0,0,0,0.0,158,0,0,158,0,2.0,158,0,True
LDY,CITY OF DERRY (EGLINTON),202009,5596,5596,0,0,0,0,0,0,0,0.0,158,0,0,158,0,0.0,158,0,True
LDY,CITY OF DERRY (EGLINTON),202010,3631,3631,0,0,0,0,0,0,0,0.0,144,0,0,144,0,0.0,144,0,True
LDY,CITY OF DERRY (EGLINTON),202011,5580,5580,0,0,0,0,0,0,0,0.0,112,0,0,112,0,0.0,112,0,True
LDY,CITY OF DERRY (EGLINTON),202012,5964,5964,0,0,0,0,0,0,0,0.0,158,0,0,158,0,0.0,158,0,True
LDY,CITY OF DERRY (EGLINTON),202101,1111,1111,0,0,0,0,0,0,0,0.0,118,0,0,118,0,0.0,118,0,True
LDY,CITY OF DERRY (EGLINTON),202102,1147,1147,0,0,0,0,0,0,0,0.0,84,0,0,84,0,0.0,84,0,True
LDY,CITY OF DERRY (EGLINTON),202103,1831,1831,0,0,0,0,0,0,0,0.0,111,0,0,111,0,0.0,111,0,True
LDY,CITY OF DERRY (EGLINTON),202104,3360,3360,0,0,0,0,0,0,0,0.0,124,0,0,124,0,0.0,124,0,True
LDY,CITY OF DERRY (EGLINTON),202105,4469,4469,0,0,0,0,0,0,0,0.0,152,0,0,152,0,0.0,152,0,True
LDY,CITY OF DERRY (EGLINTON),202106,7396,7396,0,0,0,0,0,0,0,0.0,196,0,0,196,0,0.0,196,0,True
LDY,CITY OF DERRY (EGLINTON),202107,9330,9330,0,0,0,0,0,0,0,0.0,239,0,0,239,0,0.0,239,0,True
LDY,CITY OF DERRY (EGLINTON),202108,10719,10719,0,0,0,0,0,0,0,0.0,257,0,0,257,0,0.0,257,0,True
LDY,CITY OF DERRY (EGLINTON),202109,7630,7630,0,0,0,0,0,0,0,0.0,211,0,0,211,0,0.0,211,0,True
LDY,CITY OF DERRY (EGLINTON),202110,7752,7752,0,0,0,0,0,0,0,0.0,213,0,0,213,0,0.0,213,0,True
LDY,CITY OF DERRY (EGLINTON),202111,6938,6938,0,0,0,0,0,0,0,0.0,206,0,0,206,0,0.0,206,0,True
LDY,CITY OF DERRY (EGLINTON),202112,11341,11341,0,0,0,0,0,0,0,0.0,273,0,0,273,0,0.0,273,0,True
LDY,CITY OF DERRY (EGLINTON),202201,7292,7292,0,0,0,0,0,0,0,0.0,224,0,0,224,0,0.0,224,0,True
LDY,CITY OF DERRY (EGLINTON),202202,10171,10171,0,0,0,0,0,0,0,0.0,212,0,0,212,0,0.0,212,0,True
LDY,CITY OF DERRY (EGLINTON),202203,11060,11060,0,0,0,0,0,0,0,0.0,238,0,0,238,0,0.0,238,0,True
LDY,CITY OF DERRY (EGLINTON),202204,12810,12810,0,0,0,0,0,0,0,0.0,241,0,0,241,0,0.0,241,0,True
LDY,CITY OF DERRY (EGLINTON),202205,13910,13910,0,0,0,0,0,0,0,0.0,275,0,0,275,0,0.0,275,0,True
LDY,CITY OF DERRY (EGLINTON),202206,15360,15360,0,2,2,0,0,0,0,0.0,300,0,0,300,0,2.0,300,0,False
LDY,CITY OF DERRY (EGLINTON),202207,20889,20889,0,18,18,0,0,0,0,0.0,344,0,0,344,0,18.0,344,0,False
LDY,CITY OF DERRY (EGLINTON),202208,19448,19448,0,12,12,0,0,0,0,0.0,320,0,0,320,0,12.0,320,0,False
LDY,CITY OF DERRY (EGLINTON),202209,13534,13534,0,0,0,0,0,0,0,0.0,278,0,0,278,0,0.0,278,0,False
LDY,CITY OF DERRY (EGLINTON),202210,14677,14677,0,2,2,0,0,0,0,0.0,278,0,0,278,0,2.0,278,0,False
LDY,CITY OF DERRY (EGLINTON),202211,11332,11332,0,0,0,0,0,0,0,0.0,223,0,0,223,0,0.0,223,0,False
LDY,CITY OF DERRY (EGLINTON),202212,12896,12896,0,0,0,0,0,0,0,0.0,288,0,0,288,0,0.0,288,0,False
LDY,CITY OF DERRY (EGLINTON),202301,10400,10400,0,0,0,0,0,0,0,0.0,234,0,0,234,0,0.0,234,0,False
LDY,CITY OF DERRY (EGLINTON),202302,11256,11256,0,0,0,5,0,5,0,0.0,196,0,0,196,0,0.0,201,0,False
LDY,CITY OF DERRY (EGLINTON),202303,11764,11764,0,0,0,0,0,0,0,0.0,226,0,0,226,0,0.0,226,0,False
LDY,CITY OF DERRY (EGLINTON),202304,13443,13443,0,0,0,0,0,0,0,0.0,260,0,0,260,0,0.0,260,0,False
LDY,CITY OF DERRY (EGLINTON),202305,12896,12896,0,3,3,0,0,0,0,0.0,270,0,0,270,0,3.0,270,0,False
LDY,CITY OF DERRY (EGLINTON),202306,14138,14138,0,1,1,0,0,0,0,0.0,266,0,0,266,0,1.0,266,0,False
LDY,CITY OF DERRY (EGLINTON),202307,18743,18743,0,8,8,0,2,0,2,4.0,306,0,4,306,0,12.0,306,2,False
LDY,CITY OF DERRY (EGLINTON),202308,17380,17380,0,11,11,0,2,0,2,0.0,286,0,0,286,0,11.0,286,2,False
LDY,CITY OF DERRY (EGLINTON),202309,12204,12204,0,0,0,0,0,0,0,0.0,256,0,0,256,0,0.0,256,0,False
LDY,CITY OF DERRY (EGLINTON),202310,12623,12623,0,0,0,0,0,0,0,0.0,264,0,0,264,0,0.0,264,0,False
LDY,CITY OF DERRY (EGLINTON),202311,9436,9436,0,0,0,0,0,0,0,0.0,216,0,0,216,0,0.0,216,0,False
LDY,CITY OF DERRY (EGLINTON),202312,10203,10203,0,0,0,0,0,0,0,0.0,224,0,0,224,0,0.0,224,0,False
LDY,CITY OF DERRY (EGLINTON),202401,8575,8575,0,2,2,0,0,0,0,0.0,202,0,0,202,0,2.0,202,0,False
LDY,CITY OF DERRY (EGLINTON),202402,9192,9192,0,5,5,0,0,0,0,0.0,176,0,0,176,0,5.0,176,0,False
LDY,CITY OF DERRY (EGLINTON),202403,10604,10604,0,0,0,0,0,0,0,0.0,222,0,0,222,0,0.0,222,0,False
LDY,CITY OF DERRY (EGLINTON),202404,14662,14662,0,0,0,0,0,0,0,0.0,256,0,0,256,0,0.0,256,0,False
LDY,CITY OF DERRY (EGLINTON),202405,15402,15402,0,5,5,0,0,0,0,0.0,264,0,0,264,0,5.0,264,0,False
LDY,CITY OF DERRY (EGLINTON),202406,15625,15625,0,8,8,0,0,0,0,0.0,252,0,0,252,0,8.0,252,0,False
LDY,CITY OF DERRY (EGLINTON),202407,19153,19153,0,15,15,0,0,0,0,0.0,272,0,0,272,0,15.0,272,0,False
LDY,CITY OF DERRY (EGLINTON),202408,18989,18989,0,1,1,0,0,0,0,0.0,270,0,0,270,0,1.0,270,0,False
LDY,CITY OF DERRY (EGLINTON),202409,14371,14371,0,0,0,0,0,0,0,0.0,258,0,0,258,0,0.0,258,0,False
LDY,CITY OF DERRY (EGLINTON),202410,14836,14836,0,0,0,0,0,0,0,0.0,266,0,0,266,0,0.0,266,0,False
LDY,CITY OF DERRY (EGLINTON),202411,17572,17572,0,0,0,0,0,0,0,0.0,278,0,0,278,0,0.0,278,0,False
LDY,CITY OF DERRY (EGLINTON),202412,20114,20114,0,0,0,0,0,0,0,0.0,298,0,0,298,0,0.0,298,0,False
LDY,CITY OF DERRY (EGLINTON),202501,15064,15064,0,4,4,0,0,0,0,0.0,288,0,0,288,0,4.0,288,0,False
LDY,CITY OF DERRY (EGLINTON),202502,17313,17313,0,7,7,0,0,0,0,0.0,259,0,0,259,0,7.0,259,0,False
LDY,CITY OF DERRY (EGLINTON),202503,17431,17431,0,0,0,0,0,0,0,0.0,294,0,0,294,0,0.0,294,0,False
LDY,CITY OF DERRY (EGLINTON),202504,17434,17434,0,0,0,0,0,0,0,0.0,270,0,0,270,0,0.0,270,0,False
LDY,CITY OF DERRY (EGLINTON),202505,18987,18987,0,4,4,0,2,0,2,0.0,280,0,0,280,0,4.0,280,2,False
LDY,CITY OF DERRY (EGLINTON),202506,17741,17741,0,1,1,0,0,0,0,0.0,286,0,0,286,0,1.0,286,0,False
LDY,CITY OF DERRY (EGLINTON),202507,20924,20924,0,3,3,1,0,1,0,0.0,296,0,0,296,0,3.0,297,0,False
LDY,CITY OF DERRY (EGLINTON),202508,21274,21274,0,0,0,0,0,0,0,0.0,294,0,0,294,0,0.0,294,0,False
LDY,CITY OF DERRY (EGLINTON),202509,18912,18912,0,0,0,0,0,0,0,0.0,294,0,0,294,0,0.0,294,0,False
LDY,CITY OF DERRY (EGLINTON),202510,18959,18959,0,0,0,0,0,0,0,0.0,299,0,0,299,0,0.0,299,0,False
LDY,CITY OF DERRY (EGLINTON),202511,17623,17623,0,0,0,0,0,0,0,0.0,286,0,0,286,0,0.0,286,0,False
LDY,CITY OF DERRY (EGLINTON),202512,19271,19271,0,0,0,0,0,0,0,0.0,304,0,0,304,0,0.0,304,0,False
LDY,CITY OF DERRY (EGLINTON),202601,15498,15498,0,6,6,0,0,0,0,0.0,284,0,0,284,0,6.0,284,0,False
LDY,CITY OF DERRY (EGLINTON),202602,18441,18441,0,2,2,0,0,0,0,0.0,276,0,0,276,0,2.0,276,0,False
LDY,CITY OF DERRY (EGLINTON),202603,21022,21022,0,0,0,0,0,0,0,0.0,320,0,0,320,0,0.0,320,0,False
LDY,CITY OF DERRY (EGLINTON),202604,21493,21493,0,1,1,0,2,0,2,0.0,306,0,0,306,0,1.0,306,2,False
LDY,CITY OF DERRY (EGLINTON),202605,21955,21955,0,4,4,0,1,0,1,0.0,312,0,0,312,0,4.0,312,1,False
LDY,CITY OF DERRY (EGLINTON),202606,21742,21742,0,3,3,0,0,0,0,0.0,310,0,0,310,0,3.0,310,0,False
